name,grade,rarity,team,year,month,position,battingHand,throwHand,pitchingType,power,movement,longHitSuppression,homeRunSuppression,control,stuff,pitchLimit,runnerControl,defense,enhancedSkill,skill,synergy
양현종,TOP,5,kia,"[2015,2016,2019]",0,"[""SP""]",L,L,O,2028,418,258,236,351,334,99,20,312,지배력,"위기관리, 슬라이더, 에이스, 원투펀치, 정면승부, 팔색조, 커브, 컨트롤러, 이닝이팅, 플라이볼피쳐, 체인지업, 완급, 라이징 무브먼트, 묵직함, 타자 집중","광주동성고 출신, 해태/KIA, 탑클래스, 원투펀치1, FA, 통산 1500이닝 클럽, 통산 1000탈삼진 클럽, 통산 100승-100패 클럽, 통산 500경기 클럽"
정민태,TOP,5,hyundai,"[1996,1999,2000]",0,"[""SP""]",R,R,O,2027,416,261,219,369,312,111,17,322,지배력,"주자 억제, 위기관리, 슬라이더, 맞춰잡기, 에이스, 원투펀치, 컨트롤러, VS 좌타, 이닝이팅, 파이어볼러, 완급, 타자 집중, VS 우타, 커브","삼청태현, 탑클래스, 동산고 출신, 한양대 출신, 1차 지명, 투수 라이벌1, 거액 계약 (투수), 투수왕국, 통산 100승 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
김태원,TOP,5,lg,"[1990,1992,1994]",0,"[""SP""]",R,R,O,2020,427,260,261,341,312,98,10,311,지배력,"VS 좌타, 라이징 무브먼트, 맞춰잡기, 체인지업, 플라이볼피쳐, 완급, 이닝이팅, VS 우타, 팔색조, 커브, 묵직함, 정면승부, 슬라이더, 원투펀치, 컨트롤러","MBC/LG, 탑클래스, 1차 지명, 배재고 출신, 성균관대 출신"
쿠에바스,TOP,5,kt,"[2019,2023,2024]",0,"[""SP""]",S,R,O,2020,431,264,227,332,342,95,24,305,지배력,"커브, 컨트롤러, 체인지업, 완급, 슬라이더, 이닝이팅, 에이스, 타자 집중, 로케이션, 정면승부, 라이징 무브먼트, 묵직함, 원투펀치, 파이어볼러, 플라이볼피쳐, 와일드씽","KT 위즈, 탑클래스, 외국인"
김경원,TOP,5,ob,"[1993,1995,1997]",0,"[""RP""]",R,R,O,2012,471,256,253,287,384,31,22,308,지배력,"완급, 믿을맨, 클로저, 컨트롤러, 파이어볼러, 플라이볼피쳐, 로케이션, 롱맨, 정면승부, 라이징 무브먼트, 슬라이더, 묵직함, VS 좌타, VS 우타, 와일드씽","거액 계약 (투수), 청룡기 MVP, 1차 지명, 청원고 출신, OB/두산, 탑클래스, 중앙대 출신"
요키시,TOP,5,kiwoom,"[2020,2021,2022]",0,"[""SP""]",L,L,O,2007,389,258,257,382,315,93,17,296,지배력,"위기관리, 맞춰잡기, 로케이션, 에이스, 정면승부, 원투펀치, 팔색조, 컨트롤러, 커브, 그라운드볼러, VS 좌타, 이닝이팅, 체인지업, 완급, 싱커, 묵직함, 타자 집중","히어로즈, 탑클래스, 외국인"
김일융,TOP,5,samsung,"[1984,1985,1986]",0,"[""SP""]",L,L,O,2003,392,271,257,348,290,122,21,302,지배력,"커브, 정면승부, 이닝이팅, 묵직함, 완급, 위기관리, 컨트롤러, 에이스, 그라운드볼러, VS 좌타, 원투펀치","탑클래스, 삼성 라이온즈, 거액 계약 (투수), 외국인, 원투펀치4"
해커,TOP,5,nc,"[2015,2016,2017]",0,"[""SP""]",R,R,O,1998,405,271,227,358,311,99,17,310,지배력,"위기관리, 슬라이더, 맞춰잡기, 에이스, 정면승부, 팔색조, 컨트롤러, 그라운드볼러, VS 좌타, 이닝이팅, 완급, 싱커, 체인지업, 묵직함, 커브","NC 다이노스, 탑클래스, 외국인"
송진우,TOP,5,hanwha,"[1991,1992,2002]",0,"[""SP""]",L,L,O,1998,432,260,227,311,329,112,20,307,지배력,"VS 좌타, 라이징 무브먼트, 체인지업, 완급, VS 우타, 이닝이팅, 로케이션, 에이스, 슬라이더, 그라운드볼러, 정면승부, 원투펀치, 주자 억제, 컨트롤러","빙그레/한화, 탑클래스, 1차 지명, 세광고 출신, 동국대 출신, 거액 계약 (투수), 실업야구 출신, FA, 통산 500경기 클럽, 통산 100승-100패 클럽, 통산 100세이브 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
배영수,TOP,5,samsung,"[2004,2005,2006]",0,"[""SP""]",R,R,O,1997,405,260,249,322,338,97,19,307,지배력,"위기관리, 슬라이더, 에이스, 와일드씽, 정면승부, 더티 무브먼트, 컨트롤러, 파이어볼러, 이닝이팅, 완급, 묵직함","삼성 라이온즈, 탑클래스, 1차 지명, 경북고 출신, FA, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽, 통산 100승-100패 클럽"
고우석,TOP,5,lg,"[2019,2021,2022]",0,"[""RP""]",R,R,O,1986,464,256,227,284,420,16,15,304,지배력,"완급, 믿을맨, 클로저, 컨트롤러, 위기관리, 커브, 파이어볼러, 플라이볼피쳐, 그라운드볼러, 더티 무브먼트, 정면승부, 라이징 무브먼트, 슬라이더, 묵직함, 투피치, 와일드씽","1차 지명, 충암고 출신, 철벽불펜, MBC/LG, 통산 100세이브 클럽, 탑클래스"
루친스키,TOP,5,nc,"[2019,2020,2021]",0,"[""SP""]",R,R,O,1985,376,289,231,334,334,97,23,301,지배력,"위기관리, 컨트롤러, 팔색조, 완급, 맞춰잡기, 싱커, 파이어볼러, 정면승부, 슬라이더, 이닝이팅, 더티 무브먼트, 묵직함, 그라운드볼러, 주자 억제, 에이스","NC 다이노스, 탑클래스, 외국인"
김상엽,TOP,5,samsung,"[1993,1995,1997]",0,"[""SP""]",R,R,O,1981,410,281,236,311,324,105,13,301,지배력,"위기관리, 로케이션, 에이스, 정면승부, 투피치, 그라운드볼러, 컨트롤러, VS 좌타, 이닝이팅, 완급, 타자 집중, VS 우타, 커브","삼성 라이온즈, 탑클래스, 대구고 출신"
윤학길,TOP,5,lotte,"[1988,1989,1992]",0,"[""SP""]",R,R,O,1978,373,251,253,375,292,118,13,303,지배력,"정면승부, 이닝이팅, 슬라이더, 그라운드볼러, 묵직함, 완급, 컨트롤러, 에이스, 맞춰잡기, 위기관리, 팔색조, 체인지업, VS 좌타, VS 우타, 원투펀치","탑클래스, 롯데 자이언츠, 1차 지명, 개성고 출신, 연세대 출신, 통산 100승 클럽, 통산 1500이닝 클럽"
정우람,TOP,5,sk,"[2010,2011,2015]",0,"[""RP""]",L,L,O,1976,426,271,249,304,376,20,17,313,지배력,"주자 억제, 위기관리, 슬라이더, 정면승부, 더티 무브먼트, 팔색조, 컨트롤러, 믿을맨, 플라이볼피쳐, 체인지업, 완급, 라이징 무브먼트, 묵직함, 타자 집중, 롱맨, 셋업","부경고 출신, SK/SSG, 탑클래스, 벌떼야구, 통산 700경기 클럽, 통산 100홀드 클럽, 통산 100세이브 클럽"
손민한,TOP,5,lotte,"[2000,2005,2008]",0,"[""SP""]",R,R,O,1972,381,279,231,374,275,97,19,316,지배력,"위기관리, 주자 억제, 슬라이더, 맞춰잡기, 에이스, 정면승부, 팔색조, 컨트롤러, 그라운드볼러, 이닝이팅, 완급, 체인지업, 스플리터, 묵직함, 커브","롯데 자이언츠, 탑클래스, 거액 계약 (투수), 1차 지명, 부산고 출신, 고려대 출신, FA, 통산 100승 클럽, 통산 1500이닝 클럽"
이승호,TOP,5,ssg,"[2000,2001,2002]",0,"[""SP""]",L,L,O,1968,441,239,197,294,355,104,25,313,지배력,"VS 좌타, 라이징 무브먼트, 더티 무브먼트, 위기관리, 완급, 플라이볼피쳐, 이닝이팅, 로케이션, 에이스, 슬라이더, 정면승부, 원투펀치, 주자 억제, 컨트롤러","SK/SSG, 탑클래스, 1차 지명, 벌떼야구, 군산상고 출신, 동명이인16, 쌍방울의 유산"
윌슨,TOP,5,lg,"[2018,2019,2020]",0,"[""SP""]",R,R,O,1967,380,259,249,353,315,97,8,306,지배력,"커브, 묵직함, 타자 집중, 컨트롤러, 팔색조, 그라운드볼러, 완급, 슬라이더, 이닝이팅, 싱커, 위기관리, 에이스, 맞춰잡기, 정면승부, 원투펀치, 로케이션","탑클래스, MBC/LG, 외국인"
구창모,TOP,5,nc,"[2019,2020,2022]",0,"[""SP""]",L,L,O,1967,423,247,210,313,352,93,23,306,지배력,"라이징 무브먼트, 스플리터, 완급, 로케이션, 정면승부, 커브, 묵직함, 타자 집중, 컨트롤러, 팔색조, 슬라이더, 이닝이팅, VS 좌타, 더티 무브먼트, 위기관리, 원투펀치, 주자 억제, 파이어볼러","탑클래스, NC 다이노스, 배구장, 울산공고 출신, FA"
채병용,TOP,5,ssg,"[2002,2007,2008]",0,"[""SP""]",R,R,O,1965,408,270,214,342,297,106,14,314,지배력,"타자 집중, 컨트롤러, 팔색조, 완급, 슬라이더, 이닝이팅, VS 우타, 로케이션, 투피치, 원투펀치, 에이스, VS 좌타, 플라이볼피쳐, 위기관리","탑클래스, SK/SSG, 황금세대 1982, 신일고 출신, FA"
임에렉,TOP,5,kia,"[1996,1997,1998]",0,"[""RP""]",R,R,U,1957,426,248,249,327,352,33,9,313,지배력,"클로저, 위기관리, 슬라이더, 와일드씽, 더티 무브먼트, 정면승부, 팔색조, 컨트롤러, 그라운드볼러, VS 좌타, 믿을맨, 파이어볼러, 완급, 묵직함, 타자 집중, 롱맨, VS 우타, 셋업","해태/KIA, 탑클래스, 광주진흥고 출신, 통산 700경기 클럽, 통산 100승 클럽, 통산 100세이브 클럽, 통산 1000탈삼진 클럽, 통산 1500이닝 클럽"
이재학,TOP,5,nc,"[2013,2014,2018]",0,"[""SP""]",R,R,U,1954,414,251,223,303,342,94,18,309,지배력,"투피치, 더티 무브먼트, 체인지업, 위기관리, 완급, 이닝이팅, 셋 포지션, 팔색조, 슬라이더, 정면승부, 원투펀치, 주자 억제, 컨트롤러","NC 다이노스, 탑클래스, 2차 드래프트, 대구고 출신, FA, 통산 1000탈삼진 클럽"
김재윤,TOP,5,kt,"[2021,2022,2023]",0,"[""RP""]",R,R,O,1951,382,280,240,317,406,17,12,297,지배력,"라이징 무브먼트, 타자 집중, 컨트롤러, 슬라이더, 스플리터, 정면승부, 묵직함, 완급, 플라이볼피쳐, 더티 무브먼트, 믿을맨, 클로저","KT 위즈, 탑클래스, 휘문고 출신, 2008 청소년대표팀, 통산 100세이브 클럽, 통산 500경기 클럽"
엄상백,TOP,5,kt,"[2022,2023,2024]",0,"[""SP""]",R,R,U,1949,399,235,197,346,351,94,27,300,지배력,"라이징 무브먼트, 완급, 플라이볼피쳐, 주자 억제, 와일드씽, 파이어볼러, 정면승부, 체인지업, 컨트롤러, 로케이션, 원투펀치, 투피치","탑클래스, KT 위즈, 청룡기 MVP, 1차 지명, 엄주곤, 고소엄박, 덕수고 출신"
켈리,TOP,5,ssg,"[2015,2016,2017]",0,"[""SP""]",R,R,O,1941,373,244,227,344,327,102,15,309,지배력,"맞춰잡기, 에이스, 정면승부, 팔색조, 컨트롤러, 그라운드볼러, 파이어볼러, 이닝이팅, 체인지업, 완급, 싱커, 커브","SK/SSG, 탑클래스, 외국인, 원투펀치2"
고영표,TOP,5,kt,"[2021,2022,2023]",0,"[""SP""]",R,R,U,1939,324,241,261,367,334,98,16,298,지배력,"커브, 묵직함, 타자 집중, 컨트롤러, 그라운드볼러, 체인지업, 완급, 맞춰잡기, 이닝이팅, 주자 억제, 정면승부, 에이스, 위기관리, 싱커","KT 위즈, 탑클래스, 화순고 출신, 동국대 출신, 고소엄박, FA"
밴헤켄,TOP,5,kiwoom,"[2013,2014,2015]",0,"[""SP""]",R,L,O,1938,373,232,244,324,351,100,12,302,지배력,"주자 억제, 슬라이더, 로케이션, 에이스, 정면승부, 팔색조, 그라운드볼러, 컨트롤러, 이닝이팅, 스플리터, 완급, 묵직함, 타자 집중","히어로즈, 탑클래스, 외국인"
브리검,TOP,5,kiwoom,"[2017,2018,2019]",0,"[""SP""]",R,R,O,1938,385,251,231,324,330,97,16,304,지배력,"맞춰잡기, 위기관리, 원투펀치, 완급, VS 우타, 이닝이팅, 팔색조, 에이스, 그라운드볼러, 슬라이더, 정면승부, 커브, 싱커, 주자 억제, 묵직함, 컨트롤러","히어로즈, 탑클래스, 외국인"
김현욱,TOP,5,samsung,"[2000,2002,2003]",0,"[""RP""]",R,R,S,1934,380,263,231,350,352,22,23,313,지배력,"커브, 묵직함, 컨트롤러, 완급, 싱커, VS 우타, 셋업, 롱맨, 정면승부, 믿을맨, 라이징 무브먼트, 위기관리, 주자 억제, 플라이볼피쳐","탑클래스, 삼성 라이온즈, 경북고 출신, 트레이드, 한양대 출신, 통산 500경기 클럽"
정대현,TOP,5,sk,"[2004,2006,2007]",0,"[""RP""]",R,R,U,1930,405,276,261,330,313,20,16,309,지배력,"완급, 믿을맨, 클로저, 컨트롤러, 위기관리, 커브, 타자 집중, 그라운드볼러, 롱맨, 정면승부, 셋업, 싱커, 묵직함, VS 우타","벌떼야구, 쌍방울의 유산, 군산상고 출신, 봉황대기 MVP, 통산 500경기 클럽, 통산 100세이브 클럽, 통산 100홀드 클럽, SK/SSG, 탑클래스, 경희대 출신"
성영재,TOP,5,sbw,"[1996,1997,1998]",0,"[""SP""]",R,R,U,1917,415,229,214,352,280,83,27,317,지배력,"주자 억제, 맞춰잡기, 에이스, 원투펀치, 컨트롤러, VS 좌타, 플라이볼피쳐, 완급, 체인지업, 라이징 무브먼트, VS 우타, 커브","쌍방울 레이더스, 탑클래스, 광주일고 출신, 인하대 출신, 돌격대(투수)"
조상우,TOP,5,kiwoom,"[2014,2015,2020]",0,"[""RP""]",R,R,O,1915,418,260,257,264,375,21,13,307,지배력,"클로저, 위기관리, 슬라이더, 정면승부, 셋업, 와일드씽, 팔색조, 더티 무브먼트, 투피치, 파이어볼러, 믿을맨, 플라이볼피쳐, 완급, 라이징 무브먼트, 묵직함, 롱맨, 타자 집중","히어로즈, 탑클래스, 1차 지명, 대전고 출신, 조한손"
권혁,TOP,5,samsung,"[2007,2009,2010]",0,"[""RP""]",L,L,O,1911,442,256,214,256,400,20,13,310,지배력,"완급, 믿을맨, 컨트롤러, 위기관리, 파이어볼러, 플라이볼피쳐, 타자 집중, 로케이션, 롱맨, 더티 무브먼트, 정면승부, 라이징 무브먼트, 셋업, 묵직함, 투피치, 와일드씽","1차 지명, 포항제철고 출신, JOKKA 라인, 삼성 라이온즈, 통산 100홀드 클럽, 통산 700경기 클럽, 탑클래스"
정우람,TOP,5,hanwha,"[2016,2017,2019]",0,"[""RP""]",L,L,O,1909,415,245,219,295,387,19,21,308,지배력,"클로저, 주자 억제, 위기관리, 슬라이더, 더티 무브먼트, 정면승부, 팔색조, 믿을맨, 플라이볼피쳐, 체인지업, 싱커, 라이징 무브먼트, 묵직함, 완급, 롱맨, 타자 집중","FA, 살려조2 (투혼), 부경고 출신, 빙그레/한화, 탑클래스, 통산 700경기 클럽, 통산 100홀드 클럽, 통산 100세이브 클럽"
김현욱,TOP,5,sbw,"[1996,1997,1998]",0,"[""RP""]",R,R,S,1907,392,237,249,337,319,32,24,317,지배력,"주자 억제, 위기관리, 로케이션, 정면승부, 셋업, 컨트롤러, VS 좌타, 믿을맨, 플라이볼피쳐, 완급, 싱커, 라이징 무브먼트, 묵직함, 롱맨, VS 우타, 커브","쌍방울 레이더스, 탑클래스, 경북고 출신, 트레이드, 한양대 출신, 통산 500경기 클럽, 돌격대(투수)"
정명원,TOP,5,hyundai,"[1994,1995,1996]",0,"[""RP""]",R,R,O,1907,400,288,274,307,284,28,11,315,지배력,"묵직함, 컨트롤러, 그라운드볼러, 스플리터, 완급, 롱맨, 맞춰잡기, VS 좌타, VS 우타, 클로저, 위기관리, 믿을맨, 파이어볼러, 정면승부, 슬라이더, 와일드씽","탑클래스, 삼청태현, 투수왕국, 군산상고 출신, 원광대 출신, 통산 100세이브 클럽, 형제11, 태평양삼총사"
