name,grade,rarity,team,year,month,position,battingHand,throwHand,pitchingType,power,contact,gapPower,homeRunPower,plateDiscipline,strikeoutAvoidance,stealing,baseRunning,defense,enhancedSkill,skill,synergy,multiPosition
나성범,DGN,6,nc,,0,"[""RF"",""CF""]",L,L,O,2888,583,465,547,425,346,35,91,396,위엄,"적극성, 강견, 배럴 히터, 타격 전략, 3번, 변화구 공략, 클린업, 지명타자, 직구 공략, 공갈포, 갭 히터, 그린라이트, 게스히팅, 하이볼 히터, 외야 수비, 파워, 펀치력, 스피드스터, VS 좌투, VS 우투, VS 언더","거액 계약 (타자), 광주진흥고 출신, 나테이박, 나테의박, NC 다이노스, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 1500안타 클럽, 통산 200홈런 클럽, 디그니티, 연세대 출신",CF=423 RF=396
이종범,TOP,5,haitai,"[1994,1996,1997]",0,"[""SS""]",R,R,O,2264,473,253,282,322,352,50,96,436,지배력,"대응력, VS 언더, 타격 전략, 스피드스터, 선구안, 펀치력, 그린라이트, 적극성, OPS형 타자, 테이블세터, 직구 공략, 파워, 내야 수비, VS 우투, VS 좌투, 변화구 공략, 1번, 로우볼 히터, 배럴 히터","해태/KIA, 탑클래스, 청룡기 MVP, 1차 지명, 광주일고 출신, 건국대 출신, 신, 해태왕조 주역(타자), FA, 통산 1500안타 클럽, 통산 1000득점 클럽, 통산 300도루 클럽, 통산 1500경기 클럽",
테이준,TOP,5,nc,"[2014,2015,2016]",0,"[""B1""]",L,R,O,2198,369,298,406,356,242,43,89,395,지배력,"게스히팅, 대응력, 4번, VS 언더, 타격 전략, 스피드스터, 선구안, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, VS 우투, 변화구 공략, 로우볼 히터, 배럴 히터","NC 다이노스, 탑클래스, 외국인, 나테이박",
장효조,TOP,5,samsung,"[1983,1985,1986]",0,"[""RF""]",L,L,O,2184,477,266,218,357,332,41,88,405,지배력,"스피드스터, 대응력, 4번, 클린업, OPS형 타자, 그린라이트, 파워, 선구안, 타격 전략, 갭 히터, 3번, VS 우투, 로우볼 히터, 하이볼 히터, 배럴 히터","탑클래스, 삼성 라이온즈, 거액 계약 (타자), 1차 지명, 대구상원고 출신, 한양대 출신, 1982 국가대표팀, 실업야구 출신",
양준혁,TOP,5,samsung,"[1993,1996,1997]",0,"[""RF""]",L,L,O,2176,394,277,321,372,295,30,85,402,지배력,"대응력, 4번, VS 언더, 타격 전략, 스피드스터, 선구안, 강견, 클린업, OPS형 타자, 파워, 직구 공략, 외야 수비, VS 우투, VS 좌투, 변화구 공략, 3번, 로우볼 히터, 하이볼 히터, 배럴 히터","삼성 라이온즈, 탑클래스, 1차 지명, FA, 대구상원고 출신, 영남대 출신, 이마양 트리오, 신, 거액 계약 (타자), 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽",
양의지,TOP,5,nc,"[2019,2020,2021]",0,"[""C""]",R,R,O,2170,425,246,312,313,331,27,67,449,지배력,"배드볼히터, 대응력, 공격형 포수, 4번, 지명타자, 타격 전략, 선구안, 펀치력, 클린업, 적극성, 파워, 직구 공략, 변화구 공략, 로우볼 히터, 배럴 히터, 도루 저지, 야전사령관, 인사이드 워크, 투수 리드, 친화력","FA, 나테의박, 황금세대 1987, 광주진흥고 출신, NC 다이노스, 탑클래스, 통산 200홈런 클럽, 통산 1500안타 클럽, 통산 1500경기 클럽, 통산 1000타점 클럽",
김현수,TOP,5,doosan,"[2008,2009,2015]",0,"[""LF""]",L,R,O,2155,465,262,227,347,333,31,75,415,지배력,"대응력, 타격 전략, 선구안, 펀치력, 클린업, OPS형 타자, 외야 수비, 직구 공략, 갭 히터, VS 우투, 변화구 공략, 3번, 배럴 히터, 변칙타순","OB/두산, 탑클래스, 87베어스, 황금세대 1987, 신일고 출신, 이영민 타격상, 연습생 신화, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 200홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽, 동명이인58",
이블렉,TOP,5,kiwoom,"[2020,2021,2022]",0,"[""CF""]",L,R,O,2150,462,340,197,293,360,37,77,384,지배력,"대응력, 타격 전략, 강견, 선구안, 스피드스터, 펀치력, 그린라이트, 클린업, 갭 히터, 외야 수비, 직구 공략, 슬랩 히터, VS 우투, 변화구 공략, 3번, 로우볼 히터, 배럴 히터","넥벤져스19, 야구인2세, 1차 지명, 휘문고 출신, 히어로즈, 탑클래스",
이만수,TOP,5,samsung,"[1984,1985,1987]",0,"[""C""]",R,R,O,2144,428,234,351,316,323,25,48,419,지배력,"적극성, 4번, 클린업, 파워, VS 우투, 공격형 포수, 배럴 히터, 대응력, VS 좌투, OPS형 타자, 선구안, 타격 전략, 로우볼 히터, 도루 저지, 야전사령관, 인사이드 워크, 투수 리드, 친화력","탑클래스, 삼성 라이온즈, 청룡기 MVP, 대구상원고 출신, 이영민 타격상, 한양대 출신, 배터리4, 통산 200홈런 클럽",
최형우,TOP,5,samsung,"[2011,2014,2016]",0,"[""LF""]",L,R,O,2138,422,294,321,322,285,26,70,398,지배력,"대응력, 4번, 타격 전략, 강견, 선구안, 클린업, 파워, 직구 공략, VS 우투, 변화구 공략, 로우볼 히터, 배럴 히터","전주고 출신, 삼성 라이온즈, 탑클래스, 삼성왕조 주역, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽",
이승엽,TOP,5,samsung,"[1999,2002,2003]",0,"[""B1""]",L,L,O,2130,319,249,423,388,246,32,74,399,지배력,"게스히팅, 대응력, VS 언더, 타격 전략, 선구안, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, 3번, VS 우투, VS 좌투, 로우볼 히터","삼성 라이온즈, 탑클래스, 삼성왕조 주역, 경북고 출신, 이마양 트리오, 타자 라이벌1, FA, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽",
이대호,TOP,5,lotte,"[2007,2010,2011]",0,"[""B1""]",R,R,O,2128,465,206,351,331,305,25,52,393,지배력,"대응력, 4번, VS 언더, 타격 전략, 선구안, 클린업, OPS형 타자, 파워, 직구 공략, 내야 수비, VS 우투, 변화구 공략, 로우볼 히터, 배럴 히터","롯데 자이언츠, 탑클래스, 2000 청소년대표팀, 거인군단, 황금세대 1982, 경남고 출신, 조홍대갈, FA, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽",
이정훈,TOP,5,hanwha,"[1987,1991,1992]",0,"[""CF""]",L,L,O,2127,477,254,239,285,343,39,93,397,지배력,"컨택터, 스피드스터, 대응력, 적극성, 테이블세터, 갭 히터, 작전 수행, 슬랩 히터, 타격 전략, 배럴 히터, 그린라이트, VS 좌투, 직구 공략, VS 언더, 펀치력, VS 우투, 변화구 공략, 파워, 3번","탑클래스, 빙그레/한화, 대구상원고 출신, 동명이인23, 원조 다이너마이트, 동아대 출신",
양의지,TOP,5,doosan,"[2015,2018,2023]",0,"[""C""]",R,R,O,2125,480,253,235,297,326,32,62,440,지배력,"5번, 공격형 포수, 대응력, 클린업, 타격 전략, 펀치력, 선구안, VS 좌투, 적극성, 직구 공략, 갭 히터, 배드볼히터, 4번, OPS형 타자, 로우볼 히터, 도루 저지, 야전사령관, 인사이드 워크, 투수 리드, 친화력","87베어스, 황금세대 1987, 광주진흥고 출신, OB/두산, 탑클래스, 배터리1, 통산 200홈런 클럽, 통산 1500안타 클럽, 통산 1500경기 클럽, FA, 통산 1000타점 클럽",
김기태,TOP,5,sbw,"[1992,1997,1998]",0,"[""B1""]",L,L,O,2123,356,272,329,409,274,29,63,391,지배력,"게스히팅, 지명타자, 대응력, 4번, VS 언더, 타격 전략, 선구안, 클린업, OPS형 타자, 파워, 직구 공략, 3번, 내야 수비, VS 우투, 변화구 공략, VS 좌투, 하이볼 히터, 배럴 히터","쌍방울 레이더스, 탑클래스, 광주일고 출신, 동명이인22, 인하대 출신, 통산 200홈런 클럽, 통산 1500경기 클럽, 돌격대(타자)",
김동주,TOP,5,doosan,"[2000,2002,2007]",0,"[""B3""]",R,R,O,2120,431,240,295,337,300,31,63,423,지배력,"대응력, 4번, VS 언더, 타격 전략, 선구안, 펀치력, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, VS 우투, 변화구 공략, 3번, 로우볼 히터, 배럴 히터","OB/두산, 탑클래스, 거액 계약 (타자), 1차 지명, 배명고 출신, 고려대 출신, 우동수 트리오, FA, 통산 1500안타 클럽, 통산 200홈런 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽, 동명이인39",
홍현우,TOP,5,kia,"[1992,1995,1996]",0,"[""B3""]",R,R,O,2117,441,253,222,353,282,38,88,440,지배력,"VS 좌투, OPS형 타자, 대응력, 게스히팅, 직구 공략, 타격 전략, VS 언더, 갭 히터, 선구안, 클린업, VS 우투, 배럴 히터, 4번, 그린라이트, 로우볼 히터, 펀치력","탑클래스, 해태/KIA, 해태왕조 주역(타자), 광주동성고 출신, 트레이드",
이병규,TOP,5,lg,"[1997,1999,2004]",0,"[""CF""]",L,L,O,2116,472,302,209,264,310,43,80,436,지배력,"배드볼히터, VS 언더, 타격 전략, 스피드스터, 강견, 펀치력, 그린라이트, 클린업, 적극성, 컨택터, 외야 수비, 갭 히터, 직구 공략, 슬랩 히터, VS 우투, VS 좌투, 변화구 공략, 3번, 하이볼 히터, 배럴 히터, 변칙타순","MBC/LG, 탑클래스, 거액 계약 (타자), 1차 지명, 장충고 출신, 동명이인12, 단국대 출신, 빅5, FA, 통산 2000안타 클럽, 통산 1500경기 클럽",
구자욱,TOP,5,samsung,"[2015,2021,2024]",0,"[""RF""]",L,R,O,2106,443,312,265,282,275,41,90,398,지배력,"적극성, 강견, 배드볼히터, 배럴 히터, 2번, 3번, 변화구 공략, 번트, 클린업, 직구 공략, 갭 히터, 그린라이트, 로우볼 히터, 외야 수비, 파워, 펀치력, 변칙타순, 스피드스터, VS 우투","대구고 출신, 삼성 라이온즈, 탑클래스, FA",
심정수,TOP,5,hyundai,"[2001,2002,2003]",0,"[""RF""]",R,R,O,2106,390,202,372,365,264,30,60,423,지배력,"게스히팅, 대응력, 4번, 5번, 강견, 선구안, 펀치력, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, 외야 수비, VS 우투, 변화구 공략, 로우볼 히터","삼청태현, 탑클래스, 트레이드, 청원고 출신, 강견 3심, 통산 300홈런 클럽, 통산 1000타점 클럽, 현대왕조 주역",
최정,TOP,5,sk,"[2012,2013,2017]",0,"[""B3""]",R,R,O,2089,383,222,359,346,222,36,72,449,지배력,"게스히팅, 대응력, 선구안, 클린업, OPS형 타자, 파워, 직구 공략, VS 우투, VS 좌투, 변화구 공략, 3번, 로우볼 히터, 배럴 히터","이영민 타격상, 홈런공장, 1차 지명, 형제2, 거액 계약 (타자), 유신고 출신, SK/SSG, 탑클래스, SK왕조 주역, FA, 통산 2000경기 클럽, 통산 300홈런 클럽, 통산 1000타점 클럽, 통산 1000득점 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽",
장성호,TOP,5,kia,"[1999,2002,2003]",0,"[""B1""]",L,L,O,2084,440,259,227,335,317,33,76,397,지배력,"대응력, VS 언더, 타격 전략, 선구안, 그린라이트, 클린업, OPS형 타자, 갭 히터, 직구 공략, 테이블세터, 3번, VS 우투, 변화구 공략, 1번, 배럴 히터","해태/KIA, 탑클래스, 충암고 출신, FA, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 200홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 2000경기 클럽",
강정호,TOP,5,nexen,"[2012,2013,2014]",0,"[""SS""]",R,R,O,2074,385,262,333,338,229,37,50,440,지배력,"게스히팅, 대응력, VS 언더, 5번, 타격 전략, 선구안, 펀치력, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, 변화구 공략, VS 좌투, 로우볼 히터, 배럴 히터","히어로즈, 탑클래스, 황금세대 1987, 광주일고 출신, 넥벤져스14, 현대의 유산1",
박재홍,TOP,5,hyundai,"[1996,1997,2000]",0,"[""CF""]",R,R,O,2067,385,257,333,316,254,39,76,407,지배력,"게스히팅, 대응력, 4번, VS 언더, 타격 전략, 스피드스터, 선구안, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, 3번, VS 우투, VS 좌투, 로우볼 히터","삼청태현, 탑클래스, 거액 계약 (타자), 1차 지명, 광주일고 출신, 연세대 출신, 현대왕조 주역, 전설의 92학번, 통산 1500안타 클럽, 통산 300홈런 클럽, 통산 1000타점 클럽, 통산 1000득점 클럽, 통산 200도루 클럽, 통산 3000루타 클럽, 통산 1500경기 클럽, 실업야구 출신",
김현수,TOP,5,lg,"[2018,2020,2022]",0,"[""LF""]",L,R,O,2066,448,268,244,283,320,23,86,394,지배력,"대응력, 4번, VS 언더, 타격 전략, 선구안, 펀치력, 클린업, OPS형 타자, 직구 공략, 갭 히터, VS 우투, 변화구 공략, 3번, 로우볼 히터, 하이볼 히터, 배럴 히터","FA, NEW빅5, 이영민 타격상, 황금세대 1987, 신일고 출신, MBC/LG, 탑클래스, 통산 2000경기 클럽, 통산 200홈런 클럽, 통산 1000타점 클럽, 통산 3000루타 클럽, 통산 2000안타 클럽, 통산 1000득점 클럽, 연습생 신화, 동명이인58",
류지현,TOP,5,lg,"[1994,1998,2001]",0,"[""SS""]",R,R,O,2063,428,240,175,333,297,45,90,455,지배력,"그린라이트, VS 좌투, 대응력, 1번, 스피드스터, 타격 전략, 갭 히터, 선구안, 테이블세터, VS 우투, 컨택터, 작전 수행, 슬랩 히터, 내야 수비, 2번, 로우볼 히터","탑클래스, MBC/LG, 1차 지명, 충암고 출신, 신바람야구, 한양대 출신, 봉황대기 MVP, FA, 통산 200도루 클럽",
장종훈,TOP,5,hanwha,"[1990,1991,1992]",0,"[""B1""]",R,R,O,2059,369,233,368,372,228,34,82,373,지배력,"게스히팅, 지명타자, 대응력, 4번, VS 언더, 선구안, 클린업, OPS형 타자, 파워, 직구 공략, 3번, VS 우투, VS 좌투, 로우볼 히터, 배럴 히터","빙그레/한화, 탑클래스, 세광고 출신, 원조 다이너마이트, 연습생 신화, FA, 통산 1500안타 클럽, 통산 3000루타 클럽, 통산 300홈런 클럽, 통산 1000득점 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽",
김태균,TOP,5,hanwha,"[2003,2008,2012]",0,"[""B1""]",R,R,O,2057,423,236,299,349,259,27,64,400,지배력,"게스히팅, 대응력, 4번, 타격 전략, 선구안, 펀치력, 클린업, OPS형 타자, 파워, 직구 공략, VS 우투, 변화구 공략, 로우볼 히터, 배럴 히터","다이너마이트 타선, 1차 지명, 2000 청소년대표팀, 황금세대 1982, 북일고 출신, 빙그레/한화, 탑클래스, FA, 통산 2000경기 클럽, 통산 300홈런 클럽, 통산 1000타점 클럽, 통산 1000득점 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽",
박병호,TOP,5,kiwoom,"[2013,2015,2018]",0,"[""B1""]",R,R,O,2052,385,219,415,359,196,32,68,378,지배력,"게스히팅, 대응력, 4번, VS 언더, 타격 전략, 선구안, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, 변화구 공략, 로우볼 히터, 배럴 히터","넥벤져스14, 넥벤져스19, 1차 지명, 거액 계약 (타자), 성남고 출신, 히어로즈, 탑클래스, 통산 300홈런 클럽, 트레이드, 통산 1000타점 클럽, 통산 1500경기 클럽, 통산 1500안타 클럽",
호식,TOP,5,lotte,"[1999,2001,2006]",0,"[""LF""]",S,R,O,2050,369,234,333,390,235,32,71,386,지배력,"게스히팅, 지명타자, 대응력, 4번, VS 언더, 강견, 타격 전략, 선구안, 그린라이트, 클린업, OPS형 타자, 파워, 직구 공략, VS 우투, 배럴 히터","롯데 자이언츠, 탑클래스, 외국인, 박마호 트리오",
박건우,TOP,5,nc,"[2022,2023,2024]",0,"[""RF""]",R,R,O,2050,514,281,192,302,275,28,65,393,지배력,"적극성, 타격 전략, 컨택터, 3번, 갭 히터, 슬랩 히터, 클린업, 변화구 공략, 배럴 히터, 직구 공략, 로우볼 히터, 강견","탑클래스, NC 다이노스, 2008 청소년대표팀, FA, 서울고 출신, 손박박",
박석민,TOP,5,samsung,"[2012,2013,2015]",0,"[""B3""]",R,R,O,2049,415,219,269,365,260,26,62,433,지배력,"대응력, 4번, VS 언더, 5번, 타격 전략, 선구안, 펀치력, 클린업, OPS형 타자, 파워, 직구 공략, 내야 수비, 변화구 공략, 로우볼 히터","삼성 라이온즈, 탑클래스, 1차 지명, 대구고 출신, 통산 1500안타 클럽, 통산 200홈런 클럽, 통산 1000타점 클럽, 통산 1500경기 클럽, 삼성왕조 주역",
김성래,TOP,5,samsung,"[1987,1988,1993]",0,"[""B2""]",R,R,O,2048,435,219,308,335,284,25,62,380,지배력,"배럴 히터, 선구안, 타격 전략, 3번, 4번, 6번, 클린업, 직구 공략, 갭 히터, 게스히팅, 대응력, 로우볼 히터, OPS형 타자, 파워, 하위타선, VS 좌투, VS 우투, VS 언더","1차 지명, 황금사자기 MVP, 경북고 출신, 삼성 라이온즈, 탑클래스, 연세대 출신",
정근우,TOP,5,sk,"[2007,2008,2009]",0,"[""B2""]",R,R,O,2036,497,254,158,283,314,43,84,403,지배력,"타격 전략, 스피드스터, 선구안, 그린라이트, 적극성, 컨택터, 갭 히터, 테이블세터, 번트, 슬랩 히터, 내야 수비, VS 좌투, 변화구 공략, 1번, 하이볼 히터, 배럴 히터, 변칙타순","SK/SSG, 탑클래스, SK왕조 주역, 2000 청소년대표팀, 황금세대 1982, 부산고 출신, 고려대 출신, 통산 1500안타 클럽, 통산 1000득점 클럽, 통산 300도루 클럽, 통산 1500경기 클럽",
로하스,TOP,5,kt,"[2018,2020,2024]",0,"[""CF""]",S,R,O,2030,414,264,346,308,221,28,73,376,지배력,"OPS형 타자, 게스히팅, 직구 공략, 타격 전략, 강견, 파워, 스피드스터, 3번, 클린업, 변화구 공략, 배럴 히터, 로우볼 히터, 선구안, 1번, 펀치력, 테이블세터, VS 언더, 변칙타순","KT 위즈, 탑클래스, 외국인",
브로빈,TOP,5,hyundai,"[2003,2004,2007]",0,"[""LF""]",R,R,O,2030,407,206,304,365,280,24,61,383,지배력,"대응력, 4번, 타격 전략, 선구안, 7번, 펀치력, 클린업, OPS형 타자, 외야 수비, 직구 공략, 파워, 하위타선, 3번, VS 우투, VS 좌투, 로우볼 히터, 배럴 히터","삼청태현, 탑클래스, 외국인",
최형우,TOP,5,kia,"[2017,2018,2020]",0,"[""LF""]",L,R,O,2029,448,262,257,326,275,25,62,374,지배력,"지명타자, 대응력, 4번, VS 언더, 타격 전략, 강견, 선구안, 펀치력, 클린업, OPS형 타자, 갭 히터, 파워, 직구 공략, 변화구 공략, 3번, 로우볼 히터, 배럴 히터","FA, 전주고 출신, 해태/KIA, 탑클래스, 통산 2000경기 클럽, 통산 300홈런 클럽, 통산 1000타점 클럽, 통산 1000득점 클럽, 통산 2000안타 클럽, 통산 3000루타 클럽",
이진영,TOP,5,ssg,"[2003,2004,2005]",0,"[""RF""]",L,L,O,2029,462,238,222,285,308,27,83,404,지배력,"대응력, VS 언더, 스피드스터, 3번, 펀치력, 직구 공략, 외야 수비, 갭 히터, 변화구 공략, VS 우투, 선구안, 타격 전략, 강견, 하이볼 히터, 배럴 히터, 변칙타순","SK/SSG, 탑클래스, 1차 지명, 군산상고 출신, 동명이인20, 쌍방울의 유산, 통산 2000안타 클럽, 통산 3000루타 클럽, 통산 2000경기 클럽",
심정수,TOP,5,doosan,"[1998,1999,2000]",0,"[""RF""]",R,R,O,2027,417,261,286,283,272,26,69,413,지배력,"적극성, 직구 공략, 펀치력, 강견, 클린업, VS 우투, VS 언더, 6번, 파워, 5번, OPS형 타자, 대응력, 변화구 공략, 선구안, 로우볼 히터, 배럴 히터, 공갈포","탑클래스, OB/두산, 강견 3심, 청원고 출신, 통산 300홈런 클럽, 통산 1000타점 클럽, 우동수 트리오",
박정태,TOP,5,lotte,"[1992,1998,1999]",0,"[""B2""]",R,R,O,2026,454,258,180,309,320,22,70,413,지배력,"대응력, VS 언더, 타격 전략, 선구안, 클린업, 컨택터, 내야 수비, 갭 히터, 직구 공략, 슬랩 히터, 3번, VS 우투, 변화구 공략, VS 좌투, 로우볼 히터, 하이볼 히터, 배럴 히터","롯데 자이언츠, 탑클래스, 1차 지명, 동래고 출신, 박마호 트리오, 경성대 출신, 남두오성, FA",
